question,stem_image_url,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,correct_option,explanation,difficulty
What is the SI unit of force?,,Newton,Joule,Watt,Pascal,,,,,A,,easy
Which particle carries a negative charge?,,Proton,Neutron,Electron,Alpha particle,,,,,C,,easy
Acceleration due to gravity on Earth is approximately?,,3.5 m/s^2,6.0 m/s^2,9.8 m/s^2,15.0 m/s^2,,,,,C,,medium
What is the SI unit of power?,,Joule,Watt,Volt,Ampere,,,,,B,,easy
Which law states that pressure is inversely proportional to volume?,,Newton’s law,Boyle’s law,Hooke’s law,Charles’ law,,,,,B,,medium
Which device is used to measure electric current?,,Voltmeter,Ammeter,Ohmmeter,Thermometer,,,,,B,,easy
What is the speed of light in vacuum?,,3×10^3 m/s,3×10^5 m/s,3×10^6 m/s,3×10^8 m/s,,,,,D,,medium
Which of the following is a vector quantity?,,Speed,Distance,Force,Mass,,,,,C,,easy
Which gas is used in electric bulbs?,,Nitrogen,Oxygen,Argon,Carbon dioxide,,,,,C,,easy
The slope of a displacement–time graph gives?,,Speed,Velocity,Acceleration,Force,,,,,B,,medium
What is the unit of electric charge?,,Coulomb,Farad,Ohm,Henry,,,,,A,,easy
Who proposed the three laws of motion?,,Einstein,Newton,Kepler,Faraday,,,,,B,,easy
Which wave requires a medium to travel?,,Light wave,Radio wave,Sound wave,X-ray,,,,,C,,easy
What is the unit of frequency?,,Hertz,Newton,Joule,Candela,,,,,A,,easy
A body continues in its state of rest or motion unless acted upon by a force. This is?,,Newton’s 1st law,Newton’s 2nd law,Newton’s 3rd law,Law of gravitation,,,,,A,,easy
The energy possessed by a body due to motion is called?,,Heat energy,Light energy,Kinetic energy,Potential energy,,,,,C,,medium
Which instrument measures atmospheric pressure?,,Hygrometer,Barometer,Manometer,Thermometer,,,,,B,,easy
The unit of resistance is?,,Ohm,Volt,Ampere,Farad,,,,,A,,easy
Which of these is NOT a renewable energy source?,,Wind,Solar,Petroleum,Hydro,,,,,C,,medium
The force that opposes motion between two surfaces is?,,Tension,Thrust,Friction,Upthrust,,,,,C,,easy
Which phenomenon explains the bending of light in water?,,Reflection,Refraction,Diffraction,Interference,,,,,B,,medium
What is the unit of electric potential difference?,,Ohm,Watt,Volt,Henry,,,,,C,,easy
Which radiation has the highest energy?,,Infrared,Visible,Ultraviolet,Gamma rays,,,,,D,,hard
The moment of a force depends on?,,Force only,Distance only,Force & perpendicular distance,Mass only,,,,,C,,medium
What is the derivative of velocity with respect to time?,,Speed,Acceleration,Impulse,Force,,,,,B,,medium
Transformer works on the principle of?,,Static electricity,Electromagnetic induction,Photoelectric effect,Radioactivity,,,,,B,,medium
Which law relates current voltage and resistance?,,Hooke’s law,Ohm’s law,Fleming’s law,Newton’s law,,,,,B,,medium
The unit of capacitance is?,,Coulomb,Farad,Henry,Weber,,,,,B,,medium
Which colour of light has the longest wavelength?,,Violet,Green,Yellow,Red,,,,,D,,medium
What is the energy stored in a stretched spring called?,,Kinetic,Elastic potential,Chemical,Nuclear,,,,,B,,medium
What is the pressure at sea level in pascal?,,1 Pa,100 Pa,100000 Pa,1000 Pa,,,,,C,,medium
The unit of work is?,,Newton,Joule,Watt,Pascal,,,,,B,,easy
Which layer of the earth contains magnetic materials?,,Crust,Mantle,Core,Atmosphere,,,,,C,,hard
Which physical quantity is conserved in all collisions?,,Velocity,Momentum,Force,Power,,,,,B,,hard
What is the refractive index of vacuum?,,0,1,1.33,3.0,,,,,B,,medium
The SI unit of angular velocity is?,,rad/s,deg/s,rev/min,Hz,,,,,A,,medium
What kind of lens converges light rays?,,Concave lens,Convex lens,Plano lens,Cylindrical lens,,,,,B,,easy
A body of mass 2 kg has momentum 10 kgm/s. Its velocity is?,,2 m/s,5 m/s,10 m/s,20 m/s,,,,,B,,medium
Which method is used to separate crude oil components?,,Filtration,Distillation,Evaporation,Sublimation,,,,,B,,medium
Radioactivity was discovered by?,,Newton,Becquerel,Curie,Einstein,,,,,B,,medium
What protects us from harmful UV radiation?,,Ozone layer,Clouds,CO₂ layer,Methane,,,,,A,,easy
The density of water at 4°C is?,,0.5 g/cm³,1.0 g/cm³,1.5 g/cm³,2.0 g/cm³,,,,,B,,easy
The unit of inductance is?,,Weber,Henry,Tesla,Farad,,,,,B,,medium
Which phenomenon explains formation of rainbow?,,Reflection,Refraction & dispersion,Diffraction,Polarisation,,,,,B,,medium
The charge of a proton is?,,+1C,–1C,0C,+2C,,,,,A,,easy
What is the boiling point of water at sea level?,,50°C,80°C,100°C,120°C,,,,,C,,easy
Which lens is used in a magnifying glass?,,Concave,Convex,Cylindrical,Plano,,,,,B,,easy
Which radiation is stopped by paper?,,Alpha,Beta,Gamma,Neutron,,,,,A,,medium
What is the dimension of force?,,MLT⁻²,ML²T⁻²,MLT⁻¹,MT⁻²,,,,,A,,hard
Which scientist discovered the electron?,,Newton,Thomson,Bohr,Rutherford,,,,,B,,medium
